country,region,region_code,start_date,end_date,days,year,week,population,total_deaths,covid_deaths,expected_deaths,excess_deaths,non_covid_deaths,covid_deaths_per_100k,excess_deaths_per_100k,excess_deaths_pct_change,zscore_total_deaths,normalized_total_deaths,month
Hungary,Hungary,0,2021-12-06,2021-12-12,7,2021,49,9709786,3967.0,1307,2533.66629213483,1433.33370786517,2660.0,13.4606468154911,14.7617435427019,0.565715268942329,-0.1646714649226589,-0.06800396443061078,12
Hungary,Hungary,0,2021-12-13,2021-12-19,7,2021,50,9709786,3641.0,1101,2515.46629213483,1125.53370786517,2540.0,11.3390758560487,11.5917457693215,0.447445354916663,-0.19568994999290612,-0.13035016012296904,12
Hungary,Hungary,0,2021-12-20,2021-12-26,7,2021,51,9709786,3462.0,777,2596.06629213483,865.933707865167,2685.0,8.0022360945957,8.91815440489798,0.333556084637995,-0.21272157216337928,-0.16458319395404922,12
Hungary,Hungary,0,2021-12-27,2022-01-02,7,2021,52,9709786,3365.0,879,2636.86629213483,728.133707865167,2486.0,9.05272268616425,7.49896761746517,0.276135999021652,-0.22195099870268595,-0.18313405586251164,12
Hungary,Hungary,0,2022-01-03,2022-01-09,7,2022,1,9709786,3127.0,594,2792.88291198512,334.11708801488,2533.0,6.11753956266389,3.44103451934862,0.119631613119576,-0.2445963957785106,-0.2286506036379143,1
Hungary,Hungary,0,2022-01-10,2022-01-16,7,2022,2,9709786,2899.0,457,2815.88291198502,83.1170880149843,2442.0,4.7065918857532,0.856013593038861,0.0295172386824805,-0.26629030558224176,-0.2722546914227538,1
Hungary,Hungary,0,2022-01-17,2022-01-23,7,2022,3,9709786,2853.0,585,2820.88291198502,32.1170880149843,2268.0,6.0248495692902,0.330770297254587,0.0113854736325725,-0.27066714703387174,-0.28105200737934427,1
Hungary,Hungary,0,2022-01-24,2022-01-30,7,2022,4,9709786,2937.0,407,2920.71624531835,16.2837546816504,2530.0,4.19164747812156,0.167704568171228,0.0055752607627499,-0.2626746539482866,-0.2649873434586139,1
Hungary,Hungary,0,2022-01-31,2022-02-06,7,2022,5,9709786,3135.0,512,2966.88291198502,168.117088014984,2623.0,5.273030734148,1.73141908601265,0.0566645509790271,-0.24383520596083583,-0.2271206356454638,1
Hungary,Hungary,0,2022-02-07,2022-02-13,7,2022,6,9709786,3168.0,619,2949.54957865168,218.450421348318,2549.0,6.37501176647971,2.24979645636184,0.0740622985046346,-0.24069529796292738,-0.22080951767660545,2
Hungary,Hungary,0,2022-02-14,2022-02-20,7,2022,7,9709786,3188.0,706,2897.71624531835,290.28375468165,2482.0,7.27101503575877,2.98959992199262,0.100176735783099,-0.23879232341874043,-0.21698459769547918,2
Hungary,Hungary,0,2022-02-21,2022-02-27,7,2022,8,9709786,3013.0,686,2847.04957865168,165.950421348317,2327.0,7.06503727270611,1.70910482834861,0.058288560407477,-0.2554433506803762,-0.2504526475303341,2
Hungary,Hungary,0,2022-02-28,2022-03-06,7,2022,9,9709786,2888.0,534,2841.63286516853,46.3671348314683,2354.0,5.49960627350592,0.477529935587337,0.0163170743834709,-0.2673369415815446,-0.2743583974123733,2
Hungary,Hungary,0,2022-03-07,2022-03-13,7,2022,10,9709786,2750.0,367,2759.83286516853,-9.83286516853195,2383.0,3.77969195201624,-0.10126757859063,-0.003562848059616,-0.2804674659364345,-0.30075034528214456,3
Hungary,Hungary,0,2022-03-14,2022-03-20,7,2022,11,9709786,2862.0,308,2657.03286516853,204.967134831467,2554.0,3.17205755101091,2.11093359659489,0.0771413622761001,-0.26981080848898764,-0.27933079338783745,3
